symbol,effective_from,effective_to,index_name,source,notes
PAGEIND,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
PATANJALI,2022-09-30,,NIFTY200,niftyindices_pr_scraped,
PAYTM,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
PCJEWELLER,2018-01-01,2019-03-28,NIFTY200,niftyindices_pr_scraped,
PEL,2018-01-01,2022-08-07,NIFTY200,niftyindices_pr_scraped,
PEL,2023-03-31,2024-09-29,NIFTY200,niftyindices_pr_scraped,
PERSISTENT,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
PETRONET,2018-01-01,2025-09-29,NIFTY200,niftyindices_pr_scraped,
PFC,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
PFIZER,2019-03-29,2022-03-30,NIFTY200,niftyindices_pr_scraped,
PGHH,2018-01-01,2024-03-27,NIFTY200,niftyindices_pr_scraped,
PHOENIXLTD,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
PIDILITIND,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
PIIND,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
PNB,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
PNBHOUSING,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
POLICYBZR,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
POLYCAB,2020-06-26,,NIFTY200,niftyindices_pr_scraped,
POONAWALLA,2022-09-30,2025-03-27,NIFTY200,niftyindices_pr_scraped,
POWERGRID,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
POWERINDIA,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
PREMIERENE,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
PRESTIGE,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
QUESS,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
RADICO,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
RAJESHEXPO,2018-01-01,2021-03-30,NIFTY200,niftyindices_pr_scraped,
RAMCOCEM,2018-01-01,2024-03-27,NIFTY200,niftyindices_pr_scraped,
RBLBANK,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
RCOM,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
RECLTD,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
RELCAPITAL,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
RELIANCE,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
RELINFRA,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
RPOWER,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
RVNL,2023-09-29,,NIFTY200,niftyindices_pr_scraped,
SAIL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SANOFI,2020-09-25,2022-03-30,NIFTY200,niftyindices_pr_scraped,
SBICARD,2020-07-31,,NIFTY200,niftyindices_pr_scraped,
SBILIFE,2018-04-02,,NIFTY200,niftyindices_pr_scraped,
SBIN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SHREECEM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SHRIRAMFIN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SIEMENS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SJVN,2024-03-28,2025-09-29,NIFTY200,niftyindices_pr_scraped,
SOLARINDS,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
SONACOMS,2021-10-29,2026-03-29,NIFTY200,niftyindices_pr_scraped,
SPARC,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
SRF,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
STRTECH,2018-04-02,2020-06-25,NIFTY200,niftyindices_pr_scraped,
SUNDARMFIN,2024-09-30,2025-03-27,NIFTY200,niftyindices_pr_scraped,
SUNPHARMA,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
SUNTV,2018-01-01,2024-09-29,NIFTY200,niftyindices_pr_scraped,
SUPREMEIND,2024-03-28,,NIFTY200,niftyindices_pr_scraped,
SUZLON,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
SUZLON,2024-03-28,,NIFTY200,niftyindices_pr_scraped,
SWIGGY,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
SYNDIBANK,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
SYNGENE,2018-01-01,2024-09-29,NIFTY200,niftyindices_pr_scraped,
TATACAP,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
TATACHEM,2018-01-01,2019-12-26,NIFTY200,niftyindices_pr_scraped,
TATACHEM,2020-09-25,2025-03-27,NIFTY200,niftyindices_pr_scraped,
TATACOMM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TATACONSUM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TATAELXSI,2021-03-31,,NIFTY200,niftyindices_pr_scraped,
TATAINVEST,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
TATAMTRDVR,2018-01-01,2020-06-25,NIFTY200,niftyindices_pr_scraped,
TATAPOWER,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TATASTEEL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TATATECH,2024-03-28,2026-03-29,NIFTY200,niftyindices_pr_scraped,
TCS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TECHM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TIINDIA,2022-09-30,,NIFTY200,niftyindices_pr_scraped,
TITAN,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TMCV,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
TMPV,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TORNTPHARM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
TORNTPOWER,2018-01-01,2026-03-29,NIFTY200,niftyindices_pr_scraped,
TRENT,2020-06-26,,NIFTY200,niftyindices_pr_scraped,
TRIDENT,2022-03-31,2023-09-28,NIFTY200,niftyindices_pr_scraped,
TTML,2022-09-30,2023-09-28,NIFTY200,niftyindices_pr_scraped,
